## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value,Remote Access,I/O Address,Data Type,Structure Type,BOW Details,UDS Name,UDS Field Name,UDS Field Type,UDS Field Struct Type,UDS Comment
## 4.0
,,,,,,,,,,,,,,,,,,,"EncoderInput",,,,
,,,,,,,,,,,,,,,,,,,"EncoderInput","A_Lch","C",,
,,,,,,,,,,,,,,,,,,,"EncoderInput","B_Lch","C",,
,,,,,,,,,,,,,,,,,,,"EncoderInput","Counter","SSTRUC","CNT",
,,,,,,,,,,,,,,,,,,,"EncoderInput","A_DI","C",,
,,,,,,,,,,,,,,,,,,,"EncoderInput","B_DI","C",,
,,,,,,,,,,,,,,,,,,,"EncoderInput","Timer","SSTRUC","STMR",
SBR-001008,"1 Minute Bit",false,"0",,,,,,,"On for 30 seconds and Off for 30 seconds",,,,false,,"SBR",,false
SBR-001009,"2 Second Bit",false,"0",,,,,,,"On for 1 second and Off for 1 second",,,,false,,"SBR",,false
C-000198,"A_DN",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000196,"A_St_Bit",false,"0",,,,,,,,false,false,"0",false,,"C",,false
STR-000001,"AdapterName",false,,,,16,,,,,,,,false,,"STR",,false
C-000298,"AllOK",false,"0",,,,,,,,false,false,"0",false,,"C",,false
SBR-001002,"Always Off Bit",false,"0",,,,,,,"always off",,,,false,,"SBR",,false
SBR-001017,"Array out of range error",false,"0",,,,,,,"On if an array index is outside the range of the array",,,,false,,"SBR",,false
SWR-001514,"Array range error rung location",false,"0",,,,,,,"Rung Number in which ""Array out of range error"" occurred",,,,false,,"SWR",,false
SWR-001513,"Array range error task location",false,"0",,,,,,,"Task Number in which ""Array out of range error"" occurred",,,,false,,"SWR",,false
SWR-001506,"Avg Logic Scan Time [x100=usec]",false,"0",,,,,,,"average logic scan time",,,,false,,"SWR",,false
SWR-001503,"Avg Scan Interval [x100=usec]",false,"0",,,,,,,"average overall scan time",,,,false,,"SWR",,false
SSTRUC-000036,"BAStop1",false,,,,,,,,"System Structure for Simple Timer",,,,false,,"SSTRUC","STMR",false
S32-000121,"BAStop1.Current",false,"0",,,,,,,,false,false,"0",false,,"S32","STMR",false
C-000287,"BAStop1.Done",false,"0",,,,,,,,false,false,"0",false,,"C","STMR",false
S32-000120,"BAStop1.Preset",false,"0",,,,,,,,false,false,"0",false,,"S32","STMR",false
SSTRUC-000037,"BAStop2",false,,,,,,,,"System Structure for Simple Timer",,,,false,,"SSTRUC","STMR",false
S32-000123,"BAStop2.Current",false,"0",,,,,,,,false,false,"0",false,,"S32","STMR",false
C-000288,"BAStop2.Done",false,"0",,,,,,,,false,false,"0",false,,"C","STMR",false
S32-000122,"BAStop2.Preset",false,"0",,,,,,,,false,false,"0",false,,"S32","STMR",false
SSTRUC-000038,"BAStop3",false,,,,,,,,"System Structure for Simple Timer",,,,false,,"SSTRUC","STMR",false
S32-000125,"BAStop3.Current",false,"0",,,,,,,,false,false,"0",false,,"S32","STMR",false
C-000289,"BAStop3.Done",false,"0",,,,,,,,false,false,"0",false,,"C","STMR",false
S32-000124,"BAStop3.Preset",false,"0",,,,,,,,false,false,"0",false,,"S32","STMR",false
